species,avonet_name,community
Aidemedia_chascax,Aidemedia chascax,Prehistoric
Aidemedia_lutetiae,Aidemedia lutetiae,Prehistoric
Aidemedia_zanclops,Aidemedia zanclops,Prehistoric
Anas_laysanensis,Anas laysanensis,Prehistoric
Anas_wyvilliana,Anas wyvilliana,Prehistoric
Anous_minutus,Anous minutus,Prehistoric
Apteribis_brevis,Apteribis brevis,Prehistoric
Apteribis_glenos,Apteribis glenos,Prehistoric
Apteribis_sp._Lanai,Apteribis sp._Lanai,Prehistoric
Apteribis_sp._Maui,Apteribis sp._Maui,Prehistoric
Branta_hylobadistes,Branta hylobadistes,Prehistoric
Branta_rhuax,Branta rhuax,Prehistoric
Branta_sandvicensis,Branta sandvicensis,Prehistoric
Buteo_solitarius,Buteo solitarius,Prehistoric
Chaetoptila_angustipluma,Chaetoptila angustipluma,Prehistoric
Chaetoptila_sp._Maui,Chaetoptila sp._Maui,Prehistoric
Chasiempis_sandwichensis,Chasiempis sandwichensis,Prehistoric
Chelychelynechen_quassus,Chelychelynechen quassus,Prehistoric
Chloridops_kona,Chloridops kona,Prehistoric
Chloridops_regiskongi,Chloridops regiskongi,Prehistoric
Chloridops_sp._Kauai,Chloridops sp._Kauai,Prehistoric
Chloridops_sp._Maui,Chloridops sp._Maui,Prehistoric
Chloridops_wahi,Chloridops wahi,Prehistoric
Circus_dossenus,Circus dossenus,Prehistoric
Ciridops_anna,Ciridops anna,Prehistoric
Ciridops_tenax,Ciridops tenax,Prehistoric
Corvus_hawaiiensis,Corvus hawaiiensis,Prehistoric
Corvus_impluviatus,Corvus impluviatus,Prehistoric
Corvus_viriosus,Corvus viriosus,Prehistoric
Dysmorodrepanis_munroi,Dysmorodrepanis munroi,Prehistoric
Fulica_alai,Fulica alai,Prehistoric
Gallinula_chloropus,Gallinula chloropus,Prehistoric
Grallistrix_auceps,Grallistrix auceps,Prehistoric
Grallistrix_erdmani,Grallistrix erdmani,Prehistoric
