species,avonet_name,community
Anas_wyvilliana,Anas wyvilliana,Present
Gallinula_chloropus,Gallinula chloropus,Present
Fulica_alai,Fulica alai,Present
Himantopus_mexicanus,Himantopus mexicanus,Present
Anous_minutus,Anous minutus,Present
Phaethon_rubricauda,Phaethon rubricauda,Present
Phaethon_lepturus,Phaethon lepturus,Present
Sula_sula,Sula sula,Present
Nycticorax_nycticorax,Nycticorax nycticorax,Present
Puffinus_pacificus,Puffinus pacificus,Present
Puffinus_newelli,Puffinus newelli,Present
Phoebastria_immutabilis,Phoebastria immutabilis,Present
Oceanodroma_castro,Oceanodroma castro,Present
Chasiempis_sandwichensis,Chasiempis sandwichensis,Present
Myadestes_obscurus,Myadestes obscurus,Present
Myadestes_palmeri,Myadestes palmeri,Present
Psittirostra_psittacea,Psittirostra psittacea,Present
Hemignathus_kauaiensis,Hemignathus kauaiensis,Present
Hemignathus_parvus,Hemignathus parvus,Present
Oreomystis_bairdi,Oreomystis bairdi,Present
Loxops_caeruleirostris,Loxops caeruleirostris,Present
Vestiaria_coccinea,Vestiaria coccinea,Present
Himatione_sanguinea,Himatione sanguinea,Present
Gygis_alba,Gygis alba,Present
Hemignathus_virens,Hemignathus virens,Present
Myadestes_lanaiensis,Myadestes lanaiensis,Present
Pterodroma_sandwichensis,Pterodroma sandwichensis,Present
Branta_sandvicensis,Branta sandvicensis,Present
Pseudonestor_xanthophrys,Pseudonestor xanthophrys,Present
Paroreomyza_montana,Paroreomyza montana,Present
Palmeria_dolei,Palmeria dolei,Present
Buteo_solitarius,Buteo solitarius,Present
Loxioides_bailleui,Loxioides bailleui,Present
Hemignathus_munroi,Hemignathus munroi,Present
Oreomystis_mana,Oreomystis mana,Present
Loxops_coccineus,Loxops coccineus,Present
Hemignathus_flavus,Hemignathus flavus,Present
